リスト番号,山名,読み,都道府県,標高,山系,備考
82,塩見岳,しおみだけ,"長野県, 静岡県",3052,赤石山脈,南アルプス国立公園
83,悪沢岳,わるさわだけ,"長野県, 静岡県",3141,赤石山脈,南アルプス国立公園
84,赤石岳,あかいしだけ,"長野県, 静岡県",3120,赤石山脈,南アルプス国立公園
85,聖岳,ひじりだけ,"長野県, 静岡県",3013,赤石山脈,南アルプス国立公園
86,光岳,てかりだけ,"長野県, 静岡県",2591,赤石山脈,南アルプス国立公園
87,白山,はくさん,"岐阜県, 石川県",2702,両白山地,白山国立公園
88,荒島岳,あらしまだけ,福井県,1523,越美山地,奥越高原県立自然公園
89,伊吹山,いぶきやま,"岐阜県, 滋賀県",1377,伊吹山地,"琵琶湖国定公園
滋賀県の最高峰"
90,大台ヶ原山,おおだいがはらやま,"三重県, 奈良県",1695,台高山脈,"吉野熊野国立公園
三重県の最高峰"
91,大峰山,おおみねさん,奈良県,1915,紀伊山地,"吉野熊野国立公園
奈良県の最高峰"
92,大山,だいせん,鳥取県,1729,中国山地,"大山隠岐国立公園
鳥取県の最高峰"
93,剣山,つるぎさん,徳島県,1955,四国山地,"剣山国定公園
徳島県の最高峰"
94,石鎚山,いしづちさん,愛媛県,1982,四国山地,"石鎚国定公園
愛媛県の最高峰"
95,九重山,くじゅうさん,大分県,1791,九重火山群,"阿蘇くじゅう国立公園
大分県の最高峰"
96,祖母山,そぼさん,"大分県, 宮崎県",1756,九州山地,"祖母傾国定公園
宮崎県の最高峰"
97,阿蘇山,あそさん,熊本県,1592,阿蘇カルデラ,阿蘇くじゅう国立公園
98,霧島山,きりしまやま,"宮崎県, 鹿児島県",1700,えびの高原,霧島錦江湾国立公園
99,開聞岳,かいもんだけ,鹿児島県,924,南薩火山群,霧島錦江湾国立公園
100,宮ノ浦岳,みやのうらだけ,鹿児島県,1936,屋久島,"屋久島国立公園
鹿児島県の最高峰"
